gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3499499846	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/106698931	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.476228	84.593497	29727.0						2018-03-08T15:42Z	8	3	2018	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	106698931		Zoltan BAGOSI	2022-02-13T20:27:19	CC_BY_NC_4_0	Zoltan BAGOSI	Zoltan BAGOSI			2024-03-26T21:56:22.554Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3499498930	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/106698930	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.554506	84.414702	29727.0						2018-03-08T14:26Z	8	3	2018	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	106698930		Zoltan BAGOSI	2022-02-13T20:27:19	CC_BY_NC_4_0	Zoltan BAGOSI	Zoltan BAGOSI			2024-03-26T21:55:06.218Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3499453532	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/106698929	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.528139	84.48788	29727.0						2018-03-08T14:00Z	8	3	2018	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	106698929		Zoltan BAGOSI	2022-02-13T20:27:19	CC_BY_NC_4_0	Zoltan BAGOSI	Zoltan BAGOSI			2024-03-26T22:45:29.132Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3468693914	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/106380730	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		NP		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.593986	84.429434	29727.0						2015-11-11T12:21:21	11	11	2015	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	106380730		ulexeuropaeus	2022-02-08T15:29:23	CC_BY_NC_4_0	ulexeuropaeus	ulexeuropaeus			2024-03-26T21:54:49.970Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3466455436	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/105559652	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		IN		Assam	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.776856	93.306723	29822.0						2019-03-21T16:31	21	3	2019	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	105559652		amm	2022-01-25T16:32:56	CC_BY_NC_4_0	amm	amm			2024-03-26T22:39:17.773Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3465901891	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/105551802	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		IN		Assam	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.498218	93.005467	29845.0						2021-10-03	3	10	2021	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	105551802		Dhrupad Das	2022-01-25T13:14:45	CC_BY_NC_4_0	Dhrupad Das	Dhrupad Das			2024-03-26T22:39:05.869Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3457147308	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/104719849	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		IN		Assam	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.601451	93.571215	29822.0						2020-03-06	6	3	2020	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	104719849		Jay Pruett	2022-01-10T19:43:59	CC_BY_NC_4_0	Jay Pruett	Jay Pruett			2024-03-26T23:17:46.257Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3457084634	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/104038097	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		IN		Assam	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.423668	93.026057	29845.0						2011-01-17T16:35:47	17	1	2011	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	104038097		Vijay Anand Ismavel	2021-12-31T16:39:14	CC_BY_NC_4_0	Vijay Anand Ismavel	Vijay Anand Ismavel			2024-03-26T22:05:49.414Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3456862563	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/104723544	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		IN		Assam	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.602226	93.439163	29822.0						2020-03-06	6	3	2020	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	104723544		Jay Pruett	2022-01-10T20:48:57	CC_BY_NC_4_0	Jay Pruett	Jay Pruett			2024-03-26T22:27:05.814Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3456808469	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/104802923	Animalia	Chordata	Mammalia	Perissodactyla	Rhinocerotidae	Rhinoceros	Rhinoceros unicornis		SPECIES	Rhinoceros unicornis Linnaeus, 1758	Rhinoceros unicornis		IN		Assam	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.66604	93.391793	29822.0						2006-02-03	3	2	2006	5220113	5220113	HUMAN_OBSERVATION	iNaturalist	Observations	104802923		Peter Taylor	2022-01-12T07:53:32	CC_BY_NC_4_0	Peter Taylor	Peter Taylor			2024-03-26T22:00:42.418Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
