occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,phylum,class,order,family,genus,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,environment,tectonic_setting,geology_comments,time_bins,time_contain,time_major,time_buffer,time_overlap,created,modified
402771,occ,,,38649,Rhinoceros sinensis,species,438869,Middle Pleistocene,,0.774,0.129,Zhang et al.,1973,10365,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,108.279999,23.17,CN,Guangxi,Wuming,estimated from map,2,small collection,"China, Guangxi Zhuangzu Autonomous Region, Wuming County, Ganwei (or: Ganxu, both spellings are possible) commune, Bulali Mountain. The cave is located halfway to the top of the mountain on the Southeastern side.",cave,,,Chibanian,Chibanian,Chibanian,Chibanian,Chibanian,27/04/2004 08:47,27/04/2004 10:47
403010,occ,,,38674,Dicerorhinus cixianensis,species,58007,Late Miocene,,11.63,5.333,Chen and Wu,1976,10376,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,114.379997,36.349998,CN,Hebei,Ci Xian,estimated from map,2,,"China, Hebei Province, Ci Xian County, Jiulongkou Village",terrestrial indet.,,,Tortonian,-,Tortonian,"Tortonian, Messinian","Tortonian, Messinian",28/04/2004 09:33,28/04/2004 11:40
403011,occ,,,38674,Dicerorhinus,genus,43199,Late Miocene,,11.63,5.333,Chen and Wu,1976,10376,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,114.379997,36.349998,CN,Hebei,Ci Xian,estimated from map,2,,"China, Hebei Province, Ci Xian County, Jiulongkou Village",terrestrial indet.,,,Tortonian,-,Tortonian,"Tortonian, Messinian","Tortonian, Messinian",28/04/2004 09:33,28/04/2004 11:33
403012,occ,,,38674,Plesiaceratherium gracile,species,100416,Late Miocene,,11.63,5.333,Chen and Wu,1976,10376,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Plesiaceratherium,114.379997,36.349998,CN,Hebei,Ci Xian,estimated from map,2,,"China, Hebei Province, Ci Xian County, Jiulongkou Village",terrestrial indet.,,,Tortonian,-,Tortonian,"Tortonian, Messinian","Tortonian, Messinian",28/04/2004 09:33,28/04/2004 11:33
403013,occ,,,38674,Chilotherium,genus,43196,Late Miocene,,11.63,5.333,Chen and Wu,1976,10376,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Chilotherium,114.379997,36.349998,CN,Hebei,Ci Xian,estimated from map,2,,"China, Hebei Province, Ci Xian County, Jiulongkou Village",terrestrial indet.,,,Tortonian,-,Tortonian,"Tortonian, Messinian","Tortonian, Messinian",28/04/2004 09:33,28/04/2004 11:33
403447,occ,,,38707,Rhinoceros sinensis,species,438869,Late Pleistocene,,0.129,0.0117,Ye and Huang,1990,10405,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,114.933334,30.5,CN,Hubei,Chongyang,based on nearby landmark,minutes,,"China, Hubei Province, Chongyang County, Lukou City, 200 m South of Xiangsuo Village at the Western side of Xiangsuo river",cave,,The cave is within Permian limestone,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,Late Pleistocene,30/04/2004 03:04,30/04/2004 05:04
405255,occ,12477,,38892,Stephanorhinus etruscus,species,54872,Pliocene,,5.333,2.58,O'Regan,2003,9580,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Stephanorhinus,-2.066667,42.133331,ES,La Rioja,,based on political unit,seconds,local area,"In the back of the cliff of Vallejo, near La Horna, 20 mins. sw of Villarroya, in the Ebro Valley, Spain",terrestrial indet.,,,Zanclean,-,Zanclean,"Zanclean, Piacenzian","Zanclean, Piacenzian",08/04/2005 04:44,08/04/2005 06:44
405590,occ,,,38972,Aceratherium incisivum,species,104211,Vallesian,,11.63,8.7,Crusafont-Pairo and Golpe-Posse,1974,10430,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Aceratherium,2.2,42.200001,ES,Catalonia,Barcelona,based on political unit,seconds,outcrop,"In the vicinity of the Grau Factory, close to the bridge from Barbera, on the left bank of the Rio Ripoll.",terrestrial indet.,,,Tortonian,Tortonian,Tortonian,Tortonian,Tortonian,18/05/2004 09:39,18/05/2004 11:39
405619,occ,,,38976,Aceratherium incisivum,species,104211,Vallesian,,11.63,8.7,Crusafont-Pairo and Golpe-Posse,1974,10430,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Aceratherium,2.1,41.549999,ES,Catalonia,Barcelona,based on political unit,seconds,local area,"One hundred meters from Can Casablancas I, St. Quirze de Galliners, Sabadell, Spain. Coordinates for Sabadell.",terrestrial indet.,,,Tortonian,Tortonian,Tortonian,Tortonian,Tortonian,18/05/2004 11:27,18/05/2004 13:27
405623,occ,,,38977,Dicerorhinus,genus,43199,Vallesian,,11.63,8.7,Crusafont-Pairo and Golpe-Posse,1974,10430,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,1.95,41.549999,ES,Catalonia,Barcelona,based on political unit,seconds,local area,"The exit from Terrasa towards Viladecavalls, Spain. Coordinates for Viladecavalls.",terrestrial indet.,,,Tortonian,Tortonian,Tortonian,Tortonian,Tortonian,18/05/2004 11:43,18/05/2004 13:43
